month_index,employee_id,firm_id,age,position,gender,state,recrutement_avg,competences_avg,performance_avg,remuneration_avg,qvt_avg,droit_avg,transverse_avg
1,057b4c91-c2a0-40d3-b557-730e1037a5e6,2a003204-f6d1-4f32-a79d-80a1ef912a61,58,Execution,Male,Content,3.4440599409765396,3.755121747751507,3.967424775320082,4.109463756325874,3.5933853061835395,3.989932077128741,3.0428958673966866
2,057b4c91-c2a0-40d3-b557-730e1037a5e6,2a003204-f6d1-4f32-a79d-80a1ef912a61,58,Execution,Male,Content,3.5379585811264476,2.1200657339895734,3.4626274824554164,2.2884519916990187,4.219973132816691,3.8367903697915158,2.370157038931767
3,057b4c91-c2a0-40d3-b557-730e1037a5e6,2a003204-f6d1-4f32-a79d-80a1ef912a61,58,Execution,Male,Content,3.6852625195378748,3.978176373530087,5.0,3.554809719691641,4.085553415655876,3.9938257351630186,3.0197969199152705
4,057b4c91-c2a0-40d3-b557-730e1037a5e6,2a003204-f6d1-4f32-a79d-80a1ef912a61,58,Execution,Male,Highly Engaged,5.0,4.0186347102164826,5.0,4.18785249773586,4.25960234973087,5.0,3.523325080023182
5,057b4c91-c2a0-40d3-b557-730e1037a5e6,2a003204-f6d1-4f32-a79d-80a1ef912a61,58,Execution,Male,Highly Engaged,5.0,5.0,4.931182989632317,4.993584935053749,4.293640259994425,4.566682314585245,5.0
6,057b4c91-c2a0-40d3-b557-730e1037a5e6,2a003204-f6d1-4f32-a79d-80a1ef912a61,58,Execution,Male,Highly Engaged,4.73092916916852,4.774894631654769,3.7421759067823595,4.491675572455316,4.730442403708579,4.929231199877616,4.989341031072694
7,057b4c91-c2a0-40d3-b557-730e1037a5e6,2a003204-f6d1-4f32-a79d-80a1ef912a61,58,Execution,Male,Highly Engaged,5.0,5.0,5.0,4.8794980175202625,4.854983876926798,4.9506090420060165,3.293477368362014
8,057b4c91-c2a0-40d3-b557-730e1037a5e6,2a003204-f6d1-4f32-a79d-80a1ef912a61,58,Execution,Male,Highly Engaged,5.0,3.6149320207951776,4.0822760255515975,4.931273240154779,5.0,5.0,5.0
9,057b4c91-c2a0-40d3-b557-730e1037a5e6,2a003204-f6d1-4f32-a79d-80a1ef912a61,58,Execution,Male,Highly Engaged,5.0,5.0,5.0,4.504363126793988,5.0,4.831843677973049,4.181089287987839
10,057b4c91-c2a0-40d3-b557-730e1037a5e6,2a003204-f6d1-4f32-a79d-80a1ef912a61,58,Execution,Male,Highly Engaged,4.969567956262627,4.569637654590537,4.620595589720479,4.282584698881952,3.6087017597793754,5.0,4.785690057209397
